"","Plot","Microplot","Quad","BandNo","Species","Ht1314","Dia1314","New1516","Status1516","Ht1516","Dia1516","PostFireStatus17","MP.id","X","Distance","Azimuth","Location","dead","deadno","htgrowth","diagrowth","percentht","percentdia","Nearest","Nearestx","Nearesty","Azimuth2","Seedx","Seedy","SeedID","type","nearestneighbor","distancetonearest","BAnearest13","BAnearest10","deadBAnearest13","deadBAnearest10","nearestSpp","nearestcount3","nearestcount5","nearestcount3live","nearestcount5live","nearestcount3dead","nearestcount5dead","liveBArad5","liveBArad3","deadBArad5","deadBArad3","PFliveBArad3","PFdeadBArad3","PFdeadBArad5","LIDE3liveBA","LIDE5liveBA","LIDE3deadBA","LIDE5deadBA","PFLIDE3deadBA","PFLIDE5deadBA","LIDE5livecount","LIDE3livecount","sese3liveBA","sese5liveBA","sese3deadBA","sese5deadBA","sese5livecount","sese3livecount","umca3liveBA","umca5liveBA","umca3deadBA","umca5deadBA","umca5livecount","umca3livecount","qusp3liveBA","qusp5liveBA","qusp3deadBA","qusp5deadBA","qusp5livecount","qusp3livecount","PFqusp3deadBA","PFqusp5deadBA","arme3liveBA","arme5liveBA","arme3deadBA","arme5deadBA","arme5livecount","arme3livecount","conspecBA3","conspecBA5","conspecneigh5","conspecneigh3","heterospecBA3","heterospecBA5","heterospecneigh3","heterospecneigh5"
"3389","BS499","B","2","3576","QUCH",10.4,0.35,0,"DM",NA,NA,"NO VISIT","B2","microplot",0,"microplot","microplot",1,1,NA,NA,NA,NA,"BS499-B2",499007.041039661,498994.305813448,0,499007.041039661,498994.305813448,"BS499-3576","seedling","BS499-67",0.958057344238669,0,0,0,0.00180955736846772,"QUPA",8,15,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3390","BS499","C","4","3577","QUCH",28,0.8,0,"DM",NA,NA,"NO VISIT","C4","microplot",0,"microplot","microplot",1,1,NA,NA,NA,NA,"BS499-C4",498993.493349882,498997.231696506,0,498993.493349882,498997.231696506,"BS499-3577","seedling","BS499-82",0.877992166391891,0,0,0,0,"QUCH",4,10,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3391","BS499","C","1","3578","QUCH",14,0.39,0,"DM",NA,NA,"NO VISIT","C1","microplot",0,"microplot","microplot",1,1,NA,NA,NA,NA,"BS499-C1",498992.958960339,498994.305813448,0,498992.958960339,498994.305813448,"BS499-3578","seedling","BS499-12",2.26457163242468,0,0,0,0.102924073118745,"QUPA",3,14,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3393","BS499","O","-","3573","QUCH",11,0.3,0,"DS",NA,NA,"NO VISIT","O-","otherloc",0,"0","B1",1,1,NA,NA,NA,NA,"BS499-B1",499008.45182858,498996.749370267,0,499008.45182858,498996.749370267,"BS499-3573","seedling","BS499-64",1.10946297079624,0,0,0,0.00101787601976309,"CEOL",6,18,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3394","BS499","O","-","3574","LIDE",21.3,0.3,0,"L",23,0.31,"NO VISIT","O-","otherloc",0.75,"N","B1",0,0,0.0798122065727699,0.01,0.0798122065727699,0.0322580645161291,"BS499-B1",499008.45182858,498996.749370267,0,499008.45182858,498997.499370267,"BS499-3574","seedling","BS499-64",0.428264459237333,0,0,0,0.00101787601976309,"CEOL",7,19,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3395","BS499","O","-","3579","QUCH",20.8,0.4,0,"L",17.2,0.42,"NO VISIT","O-","otherloc",0.2,"N","C3",0,0,0,0.02,0,0.0476190476190475,"BS499-C3",498994.349255697,498995.749224915,0,498994.349255697,498995.949224915,"BS499-3579","seedling","BS499-12",1.01167939784484,0,0,0,0.102924073118745,"QUPA",3,13,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3396","BS499","O","-","3580","QUCH",11.1,0.23,0,"L",12,0.28,"NO VISIT","O-","otherloc",0.5,"SE","B4",0,0,0.0810810810810811,0.05,0.0810810810810811,0.178571428571429,"BS499-B4",499005.650744303,498995.749224915,135,499006.004297574,498995.395671405,"BS499-3580","seedling","BS499-72",0.730756904851267,0,0,0,0.0206119894002026,"QUCH",6,16,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3397","BS499","O","-","3581","QUERCUS",62.3,0.54,0,"L",50.2,0.54,"NO VISIT","O-","otherloc",0.5,"SE","B4",0,0,0,0,0,0,"BS499-B4",499005.650744303,498995.749224915,135,499006.004297574,498995.395671405,"BS499-3581","seedling","BS499-72",0.730756904851267,0,0,0,0.0206119894002026,"QUCH",6,16,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3398","BS499","O","-","3582","QUERCUS",50.4,0.41,0,"L",46.5,0.45,"NO VISIT","O-","otherloc",1,"S","28",0,0,0,0.04,0,0.088888888888889,"BS499-28",498996.036556533,499003.209535151,180,498996.036556533,499002.209535151,"BS499-3582","seedling","BS499-28",1,0,0,0,0.00913889302929271,"QUPA",5,11,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3399","BS499","O","-","3583","QUCH",32.7,0.48,0,"DS",NA,NA,"NO VISIT","O-","otherloc",1,"E","28",1,1,NA,NA,NA,NA,"BS499-28",498996.036556533,499003.209535151,90,498997.036556533,499003.209535151,"BS499-3583","seedling","BS499-28",1,0,0,0,0.00913889302929271,"QUPA",2,13,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
